source_index,feature_id,height_m,center_x_m,center_y_m,min_x_m,min_y_m,max_x_m,max_y_m,highlighted
110,151292,10.18,1364.1862057,-8857.86898844,1359.27384252,-8862.94871062,1369.09856888,-8852.78926626,false
111,334265,11.85,1381.8110335,-8913.26637022,1377.56698603,-8920.09685592,1386.05508098,-8906.43588453,false
112,151337,13.22,1351.28719982,-8914.53453113,1345.37004007,-8923.14819236,1357.20435956,-8905.92086989,false
113,334098,12.33,1231.62158675,-8725.59715935,1227.13799071,-8733.69419026,1236.10518279,-8717.50012844,false
114,412521,9.95,1628.18646418,-8820.52825639,1624.56972234,-8830.06630731,1631.80320601,-8810.99020547,false
115,334290,10.76,1260.47499448,-8957.25235056,1256.29428439,-8965.50638232,1264.65570457,-8948.9983188,false
116,386447,11.3,1246.51095573,-8956.65232942,1242.27550096,-8964.33926661,1250.74641049,-8948.96539222,false
117,203491,12.67,1228.91157514,-8957.39362631,1223.3893254,-8963.95281946,1234.43382489,-8950.83443316,false
118,151146,10.2,1351.86675523,-8671.11914555,1347.80606751,-8678.44079327,1355.92744294,-8663.79749782,false
119,255487,11.26,1140.13454652,-8584.23573147,1137.18458989,-8595.60313775,1143.08450315,-8572.86832519,false
120,103428,11.98,1126.07318494,-8955.28751985,1121.68114165,-8962.84386005,1130.46522823,-8947.73117966,false
121,412640,11.5,1493.17783099,-8955.33891591,1488.98500073,-8962.19880802,1497.37066125,-8948.4790238,false
122,412489,13.38,1014.06200382,-8786.6181277,1006.37135128,-8793.16117681,1021.75265635,-8780.07507859,false
123,412480,10.71,1333.8787056,-8767.03261049,1325.24236002,-8771.99297474,1342.51505118,-8762.07224625,false
124,412387,11.39,1151.61379273,-8672.87103425,1145.15774417,-8678.85179166,1158.0698413,-8666.89027684,false
125,412312,10.95,888.83746159,-8579.07633776,881.36113413,-8585.58273797,896.31378905,-8572.56993756,false
126,412244,12.41,1085.53612793,-8489.48428996,1081.6475327,-8495.21465386,1089.42472317,-8483.75392606,false
127,412045,13.08,890.0166214,-8262.70760968,868.70535573,-8270.17588167,911.32788707,-8255.23933769,false
128,411988,12.89,1021.91246744,-8184.49083071,1007.40621636,-8191.32341992,1036.41871852,-8177.65824149,false
129,386381,10.64,1448.71906068,-8859.93132307,1444.94436129,-8866.14727447,1452.49376007,-8853.71537167,false
130,386350,14.72,1581.91140121,-8807.86516398,1572.89451586,-8812.61948628,1590.92828656,-8803.11084168,false
131,386295,11.51,1478.68440417,-8766.62500546,1474.46921807,-8773.83351816,1482.89959027,-8759.41649276,false
132,386293,11.64,1162.38107693,-8769.78952082,1159.73904484,-8778.2524727,1165.02310902,-8761.32656893,false
133,386254,12.7,1245.71081566,-8723.93320782,1239.01310362,-8730.62114507,1252.40852771,-8717.24527058,false
134,386249,13.78,1499.56759574,-8713.6130472,1492.84817379,-8723.06492581,1506.28701768,-8704.16116859,false
135,386237,11.11,1452.38759264,-8694.69289872,1445.16456773,-8701.82534665,1459.61061755,-8687.5604508,false
136,386216,10.57,1136.85052544,-8672.26313874,1132.54708267,-8677.17543522,1141.1539682,-8667.35084227,false
137,386178,14.04,1332.40747821,-8628.02674341,1324.4926686,-8633.92373032,1340.32228782,-8622.12975649,false
138,386109,10.51,1180.64662582,-8536.67776365,1175.135732,-8543.44687611,1186.15751964,-8529.90865119,false
139,386078,12.71,1233.98632354,-8502.51016832,1228.63490333,-8508.3990711,1239.33774375,-8496.62126555,false
140,386068,10.24,1276.33713181,-8491.01777138,1271.89000634,-8497.94970478,1280.78425727,-8484.08583797,false
141,385969,13.73,975.85929455,-8372.76489409,969.43151907,-8378.14688675,982.28707004,-8367.38290143,false
142,385891,8.96,1061.57348651,-8252.86588505,1054.88461475,-8258.52225432,1068.26235826,-8247.20951579,false
143,385781,12.25,937.88445811,-8132.68700413,933.42658213,-8137.62890621,942.34233409,-8127.74510206,false
144,360465,7.97,981.04704413,-8895.00506305,974.94022533,-8898.90760512,987.15386293,-8891.10252097,false
145,360449,11.25,1654.88535328,-8861.10950587,1649.72378952,-8870.60634931,1660.04691704,-8851.61266244,false
146,360446,12.22,1469.48312752,-8860.20363928,1464.41486268,-8867.42962586,1474.55139235,-8852.9776527,false
147,360442,11.07,1264.29692246,-8867.57758796,1261.36649094,-8878.58003416,1267.22735398,-8856.57514176,false
148,360441,10.78,1321.17558229,-8862.01250468,1314.69266871,-8869.48183131,1327.65849586,-8854.54317805,false
149,360440,10.63,1230.9368502,-8864.14866244,1223.50414669,-8871.85062438,1238.36955372,-8856.4467005,false
150,360439,11.02,1381.97751349,-8858.22423391,1376.81680257,-8864.49385306,1387.13822442,-8851.95461476,false
151,360392,12.44,1307.39247001,-8821.11528858,1302.73354261,-8827.23657876,1312.05139741,-8814.9939984,false
152,360386,15.4,1348.71365869,-8815.55234019,1342.07902829,-8826.41551613,1355.34828908,-8804.68916425,false
153,360382,18.21,1221.54053413,-8814.36416776,1210.07440615,-8828.03263517,1233.0066621,-8800.69570034,false
154,360348,11.87,1266.67481054,-8766.72726667,1261.42038328,-8774.05449616,1271.92923779,-8759.40003718,false
155,360342,12.15,1095.99425525,-8767.54017613,1091.23505352,-8775.63058975,1100.75345698,-8759.4497625,false
156,360221,12.04,1143.72299007,-8629.89509581,1139.0870557,-8636.01728537,1148.35892443,-8623.77290625,false
157,360220,11.49,1083.24275669,-8632.13246038,1078.07566959,-8639.47356922,1088.4098438,-8624.79135153,false
158,360192,12.76,1360.17066177,-8580.57521751,1356.09019793,-8588.48860048,1364.25112561,-8572.66183453,false
159,360189,10.28,1346.27330355,-8576.4259203,1340.17846464,-8581.22909595,1352.36814246,-8571.62274465,false
160,360121,13.92,1026.05152988,-8499.19217034,1016.74784827,-8503.30848565,1035.35521148,-8495.07585502,false
161,360117,10.55,1289.46250757,-8489.88779669,1285.46439769,-8494.43282273,1293.46061744,-8485.34277065,false
162,360058,11.54,1071.95989783,-8445.14219665,1068.92691117,-8454.65625393,1074.9928845,-8435.62813938,false
163,360054,12.17,974.4951832,-8446.03765235,960.90734612,-8457.04013871,988.08302027,-8435.03516598,false
164,360052,13.91,1018.46784424,-8444.40446885,1008.8075207,-8458.1763385,1028.12816779,-8430.63259921,false
165,359962,12.31,871.47586137,-8359.07591164,862.88189743,-8364.11273615,880.06982531,-8354.03908713,false
166,359861,11.19,1077.52375337,-8253.01477247,1071.91558525,-8261.00090487,1083.13192149,-8245.02864006,false
167,359838,11.13,1170.90175172,-8216.93467079,1164.78814519,-8221.69983756,1177.01535825,-8212.16950401,false
168,359818,10.76,934.90143375,-8210.23706052,930.16606726,-8217.9592888,939.63680023,-8202.51483225,false
169,334257,11.82,1366.79642003,-8910.7304109,1362.58404958,-8919.60250608,1371.00879047,-8901.85831572,false
170,334210,11.19,1249.03570137,-8867.65250671,1246.39289151,-8878.43815765,1251.67851122,-8856.86685576,false
171,334143,11.53,1575.86153819,-8781.05395034,1561.39460953,-8790.08362772,1590.32846685,-8772.02427297,false
172,334127,10.91,1382.02194387,-8771.33681379,1377.41613086,-8786.29917265,1386.62775687,-8756.37445494,false
173,334125,11.29,1180.80437965,-8763.94254249,1173.91198904,-8768.60769163,1187.69677026,-8759.27739336,false
174,334119,11.59,1059.5236203,-8766.00040594,1054.88553647,-8773.04155887,1064.16170414,-8758.959253,false
175,334090,11.19,1115.21025401,-8722.48154413,1110.62212384,-8729.23355601,1119.79838417,-8715.72953226,false
176,334085,10.32,1290.72733385,-8719.84070297,1286.57189054,-8731.17368525,1294.88277716,-8708.50772069,false
177,333956,15.67,1169.58007779,-8594.65914723,1151.77691124,-8603.33288504,1187.38324434,-8585.98540941,false
178,333946,11.55,1230.71645622,-8577.13425152,1225.56529506,-8582.39990723,1235.86761738,-8571.86859582,false
179,333834,9.6,1086.5147827,-8449.71080115,1083.79620611,-8458.8450305,1089.23335928,-8440.57657179,false
180,333826,10.62,936.84373701,-8446.009907,930.25985803,-8455.58546088,943.42761598,-8436.43435312,false
181,333670,11.23,979.44286588,-8247.00427998,972.89181558,-8251.35852461,985.99391619,-8242.65003535,false
182,307982,10.15,1149.90735485,-9001.24373124,1145.45907007,-9006.05941615,1154.35563963,-8996.42804634,false
183,307937,10.93,1616.69875918,-8917.63129526,1608.41504087,-8923.81071435,1624.98247749,-8911.45187616,false
184,307802,12.89,1663.01887882,-8777.34004616,1658.66310896,-8783.54285325,1667.37464868,-8771.13723907,false
185,307739,11.95,1366.80459864,-8718.27896724,1360.9143052,-8730.8012206,1372.69489208,-8705.75671388,false
186,307695,11.27,1289.30908006,-8671.87055291,1285.63985398,-8679.80149897,1292.97830615,-8663.93960685,false
187,307690,11.62,1066.94709666,-8677.22180508,1060.27727739,-8688.97279278,1073.61691594,-8665.47081739,false
188,307657,11.1,1071.27770445,-8629.47357931,1066.87111083,-8638.99738674,1075.68429807,-8619.94977187,false
